@relation arffFile 
@attribute score numeric 
@attribute id string 
@attribute tweet string 
@attribute WordCount numeric 
@attribute SCREAMER {yes,no} 
@attribute AngerAll numeric 
@attribute AngerNN numeric 
@attribute AngerVerbs numeric 
@attribute AngerADJ numeric 
@attribute AngerHashTags numeric 
@attribute AngerMAX numeric 
@attribute AngerSTDV numeric 
@attribute HappinessAll numeric 
@attribute HappinessNN numeric 
@attribute HappinessVerbs numeric 
@attribute HappinessADJ numeric 
@attribute HappinessHashTags numeric 
@attribute HappinessMAX numeric 
@attribute HappinessSTDV numeric 
@attribute DisgustAll numeric 
@attribute DisgustNN numeric 
@attribute DisgustVerbs numeric 
@attribute DisgustADJ numeric 
@attribute DisgustHashTags numeric 
@attribute DisgustMAX numeric 
@attribute DisgustSTDV numeric 
@attribute DominanceAll numeric 
@attribute DominanceNN numeric 
@attribute DominanceVerbs numeric 
@attribute DominanceADJ numeric 
@attribute DominanceHashTags numeric 
@attribute DominanceMAX numeric 
@attribute DominanceSTDV numeric 
@attribute AnticipationAll numeric 
@attribute AnticipationNN numeric 
@attribute AnticipationVerbs numeric 
@attribute AnticipationADJ numeric 
@attribute AnticipationHashTags numeric 
@attribute AnticipationMAX numeric 
@attribute AnticipationSTDV numeric 
@attribute SadnessAll numeric 
@attribute SadnessNN numeric 
@attribute SadnessVerbs numeric 
@attribute SadnessADJ numeric 
@attribute SadnessHashTags numeric 
@attribute SadnessMAX numeric 
@attribute SadnessSTDV numeric 
@attribute TrustAll numeric 
@attribute TrustNN numeric 
@attribute TrustVerbs numeric 
@attribute TrustADJ numeric 
@attribute TrustHashTags numeric 
@attribute TrustMAX numeric 
@attribute TrustSTDV numeric 
@attribute FearAll numeric 
@attribute FearNN numeric 
@attribute FearVerbs numeric 
@attribute FearADJ numeric 
@attribute FearHashTags numeric 
@attribute FearMAX numeric 
@attribute FearSTDV numeric 
@attribute JoyAll numeric 
@attribute JoyNN numeric 
@attribute JoyVerbs numeric 
@attribute JoyADJ numeric 
@attribute JoyHashTags numeric 
@attribute JoyMAX numeric 
@attribute JoySTDV numeric 
@attribute AbsConcAll numeric 
@attribute AbsConcNN numeric 
@attribute AbsConcVerbs numeric 
@attribute AbsConcADJ numeric 
@attribute AbsConcHashTags numeric 
@attribute AbsConcMAX numeric 
@attribute AbsConcSTDV numeric 
@attribute ArousalAll numeric 
@attribute ArousalNN numeric 
@attribute ArousalVerbs numeric 
@attribute ArousalADJ numeric 
@attribute ArousalHashTags numeric 
@attribute ArousalMAX numeric 
@attribute ArousalSTDV numeric 
@attribute SurpiseAll numeric 
@attribute SurpiseNN numeric 
@attribute SurpiseVerbs numeric 
@attribute SurpiseADJ numeric 
@attribute SurpiseHashTags numeric 
@attribute SurpiseMAX numeric 
@attribute SurpiseSTDV numeric 
@attribute ValencyAll numeric 
@attribute ValencyNN numeric 
@attribute ValencyVerbs numeric 
@attribute ValencyADJ numeric 
@attribute ValencyHashTags numeric 
@attribute ValencyMAX numeric 
@attribute ValencySTDV numeric 
@attribute angerINT numeric 
@attribute fearINT numeric 
@attribute joyINT numeric 
@attribute sadnessINT numeric 

@data
0.319,"0","At the point today where if someone says something remotely kind to me a waterfall will burst out of my eyes",21,no,1.5204999999999997,1.6128333333333333,2.068,1.183,2.892,3.29,0.6938501107519377,5.617454545454546,6.041666666666667,5.417999999999999,6.905,5.29,7.265,0.7318868457475889,1.2696818181818181,1.2343333333333333,1.345,1.126,2.432,2.239,0.40399474140420577,5.579727272727274,5.796333333333333,5.139333333333334,8.075,5.071,8.075,0.9607392581121695,1.4897727272727272,1.7105,1.7256666666666665,0.644,3.831,2.775,0.5915834225935053,0.7742727272727272,0.9183333333333333,1.0603333333333333,0.631,2.073,2.186,0.4688644013356386,0.9604090909090908,1.0570000000000002,1.0176666666666667,0.914,3.464,2.074,0.4188777136122653,1.085,1.1118333333333335,1.4426666666666665,0.43,2.785,2.344,0.5253079822261186,1.1788636363636362,1.592666666666667,1.2,1.185,2.945,5.174,0.9412359805041831,2.7741818181818183,4.607166666666667,3.199333333333333,1.003,4.067,8.373,2.3475221716355197,1.8635909090909095,2.074333333333333,2.861333333333333,0.902,2.346,4.523,0.8541293901696131,1.965318181818182,2.52,1.4946666666666666,2.11,4.448,4.676,0.9881690806914738,6.059454545454546,6.562833333333333,5.281,7.681,5.276,7.681,0.7476330731857789,0.412,0.434,0.59,0.478
0.144,"1","@CorningFootball  IT'S GAME DAY!!!!      T MINUS 14:30  #relentless",8,yes,2.4361428571428574,2.1073333333333335,2.892,2.892,3.946,3.946,0.8509513163848699,5.421857142857143,5.9750000000000005,5.29,5.29,5.335,6.633,0.7125803881133761,1.5525714285714283,1.1326666666666665,2.432,2.432,2.979,2.979,0.7970476474972825,5.326714285714286,5.223666666666667,5.071,5.071,6.696,6.696,0.8767294744837607,2.713571428571428,1.9853333333333334,3.831,3.831,6.066,6.066,1.795961753225168,0.9762857142857143,0.828,2.073,2.073,1.252,1.657,0.5088905299065521,2.0701428571428573,1.531666666666667,3.464,3.464,4.809,4.809,1.5843221924608042,1.827,1.333,2.785,2.785,3.833,3.833,1.0748663482808767,2.193142857142857,1.269,2.945,2.945,4.001,4.684,1.6646079046401518,3.3728571428571428,4.796333333333333,4.067,4.067,1.099,7.266,2.044945429473317,2.886714285714286,3.2236666666666665,2.346,2.346,5.112,5.112,1.4174396770569244,3.103857142857143,2.374,4.448,4.448,6.631,6.631,1.8447343465994799,5.420285714285714,5.719666666666666,5.276,5.276,5.673,6.434,0.6358138391819087,0.178,0.466,0.545,0.357
0.898,"2","This game has pissed me off more than any other game this year. My blood is boiling! Time to turn it off! #STLCards",23,yes,2.0612692307692306,1.3636,3.183,1.2850000000000001,4.344,6.699,1.3457590440399736,5.102076923076924,5.439,4.046200000000001,6.0585,5.392,6.633,1.2212186674982306,1.5914230769230764,1.4802,2.2934,1.2355,2.143,4.601,0.881893516160627,5.295884615384614,5.021800000000001,4.5516,6.1115,5.398,6.605,0.9715721003373071,1.5587692307692307,1.4140000000000001,1.7206,1.3975,5.1,5.1,0.8993665907823042,0.6660769230769231,0.5736,0.8968,0.598,1.221,1.39,0.3221799401672206,0.8250384615384616,0.6702,0.7348,0.544,2.955,2.955,0.5209282085484893,1.1373076923076924,1.1656,1.2129999999999999,0.78,2.065,2.242,0.49302785067221266,1.053461538461538,0.7664,1.1046,0.775,2.197,2.395,0.4665768301807736,3.193038461538461,6.2164,3.0154000000000005,1.459,5.846,8.281,2.3195096116337908,2.5698461538461532,3.4783999999999997,2.6794000000000002,2.216,3.042,5.949,1.323831792708052,1.9060000000000001,1.6762000000000001,1.9258000000000002,1.2530000000000001,5.647,5.647,0.9976954244658037,5.487423076923078,5.5178,4.3332,6.442500000000001,5.068,7.139,1.309670406570353,0.575,0.473,0.334,0.38
0.271,"3","@spamvicious I've just found out it's Candice and not Candace. She can pout all she likes for me 😍",19,no,1.6752631578947366,2.892,2.3925,2.892,2.892,5.527,1.0339970364295197,5.586631578947369,5.29,6.101999999999999,5.29,5.29,7.385,0.8569022510393219,1.4742631578947367,2.432,1.70525,2.432,2.432,3.05,0.6436937541430762,5.227473684210526,5.071,5.86375,5.071,5.071,6.916,0.8436740002592532,1.4558947368421051,3.831,1.5405,3.831,3.831,4.321,0.8996632638404736,0.9354210526315787,2.073,1.0505,2.073,2.073,2.565,0.599154526143991,1.1344736842105265,3.464,1.404,3.464,3.464,3.069,0.8163161403130974,1.2099473684210529,2.785,1.45575,2.785,2.785,2.93,0.6833706066000442,1.325736842105263,2.945,1.45225,2.945,2.945,3.131,0.7102165430428214,2.499842105263158,4.067,3.0465,4.067,4.067,5.978,1.5823833031628762,1.9907894736842107,2.346,2.02725,2.346,2.346,3.73,0.7228687124496375,2.365894736842106,4.448,2.6290000000000004,4.448,4.448,5.48,1.4517272048125922,5.716105263157894,5.276,5.590250000000001,5.276,5.276,7.045,0.8069423698778578,0.526,0.484,0.491,0.462
0.646,"4","@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈  #soreloser",21,no,2.201235294117647,2.871,2.11825,2.892,7.591,7.591,1.6371029491685827,5.076941176470588,5.393,4.70225,5.29,2.743,6.321,1.0214382305472658,1.6332941176470588,1.873,1.4815,2.432,6.557,6.557,1.3583307202549149,4.885117647058824,4.951,5.18075,5.071,2.766,6.263,0.8639716345425454,1.8696470588235294,2.26,1.5825,3.831,4.952,4.952,1.2471339613878931,1.009235294117647,1.011,0.6285000000000001,2.073,2.914,2.914,0.8576463089038924,1.2727058823529414,1.137,1.01125,3.464,3.082,5.075,1.1895176945250692,1.3804117647058822,1.161,1.21225,2.785,2.677,3.177,0.9454873121057421,1.1784705882352942,1.153,0.799,2.945,1.598,3.18,0.8440118569699613,2.2938823529411767,5.206,1.9585,4.067,2.119,5.206,1.5568347247842713,1.774235294117647,1.064,1.422,2.346,2.813,2.998,0.6829273871916915,2.2935882352941177,2.254,1.8642500000000002,4.448,4.724,5.647,1.6288555053634872,4.895588235294118,4.532,5.0125,5.276,2.404,6.169,0.9765990770797098,0.562,0.359,0.476,0.636
0.583,"5","@moocowward @mrsajhargreaves @Melly77 @GaryBarlow if he can't come to my Mum'a 60th after 25k tweets then why should I 🙈 #bitter #soreloser",22,no,2.4505,2.871,2.11825,2.892,7.1395,7.591,1.90809980161971,4.951666666666666,5.393,4.70225,5.29,2.7824999999999998,6.321,1.1244776565143477,1.7860000000000003,1.873,1.4815,2.432,5.4695,6.557,1.4684252870096632,4.786277777777777,4.951,5.18075,5.071,2.936,6.263,0.9372225428206696,1.953222222222222,2.26,1.5825,3.831,4.163,4.952,1.2607850288169227,1.1116666666666668,1.011,0.6285000000000001,2.073,2.8835,2.914,0.9386950892532864,1.3181111111111112,1.137,1.01125,3.464,2.586,5.075,1.1699697778343472,1.4232222222222222,1.161,1.21225,2.785,2.4139999999999997,3.177,0.935067066204694,1.2175,1.153,0.799,2.945,1.7395,3.18,0.8353873529158583,2.2912222222222223,5.206,1.9585,4.067,2.1825,5.206,1.5103936984054875,1.8472777777777776,1.064,1.422,2.346,2.951,3.089,0.7314292861607299,2.3819999999999997,2.254,1.8642500000000002,4.448,4.3045,5.647,1.624130826373439,4.765444444444444,4.532,5.0125,5.276,2.4785,6.169,1.096593078167543,0.6,0.334,0.52,0.633
0.375,"6","wanna go home and focus up on this game . Don't wanna rage at all",15,no,1.8831999999999998,4.6345,1.587,2.892,2.892,7.753,1.7191082488978324,5.332466666666667,4.34,5.189,5.29,5.29,7.418,1.2463243023654265,1.3054,2.201,1.1892,2.432,2.432,3.443,0.6405883233403493,5.593866666666666,4.113,5.6996,5.071,5.071,7.904,1.3034015863263688,1.3277999999999999,2.666,1.5956,3.831,3.831,3.825,1.0419760896626042,0.6726,1.3855,0.5738,2.073,2.073,2.335,0.5218024804190073,0.8352,1.6480000000000001,0.8368,3.464,3.464,2.434,0.5937097896158647,1.1049333333333335,2.032,1.1504,2.785,2.785,3.349,0.8437450924019535,1.0156666666666667,1.2945,1.0762,2.945,2.945,2.168,0.4675684314570842,2.9938,5.1125,2.4634,4.067,4.067,7.266,2.05370957746499,2.5277999999999996,6.1080000000000005,2.6933999999999996,2.346,2.346,7.649,1.7750437902043028,1.764066666666667,2.6020000000000003,1.5777999999999999,4.448,4.448,4.281,1.0702222377129145,5.2902,4.306,4.4892,5.276,5.276,7.412,1.4651120483723128,0.443,0.296,0.391,0.523
0.625,"7","@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 #furious",19,no,2.71821052631579,1.516,2.43025,5.0535,9.247,9.247,2.6431781917260846,4.948263157894737,7.609500000000001,4.2010000000000005,4.107,2.336,8.717,1.4227006338535355,1.5255789473684214,0.933,1.6695000000000002,2.0495,3.237,4.363,0.9688261692372016,4.857631578947368,6.603,4.5815,4.2575,2.757,6.983,1.1762458270336327,2.0032631578947373,1.7385,1.605,2.939,3.863,4.424,1.1254688821457317,0.9471052631578948,1.0855000000000001,0.71975,1.2574999999999998,2.022,2.022,0.5777498396304256,1.188263157894737,0.7549999999999999,1.2605,1.826,2.696,2.897,0.8256600620180777,1.395736842105263,1.2690000000000001,1.0985,2.28,3.522,3.522,0.7831825274768515,0.9632105263157892,1.8975,0.78775,0.8554999999999999,0.979,3.002,0.5819090783263279,2.6580526315789483,5.9559999999999995,2.3062500000000004,2.2195,1.972,8.141,2.0072446696261745,2.0214210526315792,3.1075000000000004,1.6515,3.7235,5.375,5.375,1.334004052792006,2.2655789473684207,1.7385000000000002,2.06525,3.4295,5.324,5.324,1.3656909246803925,4.9325789473684205,7.7675,4.19975,4.1715,1.948,8.885,1.6464769565411634,0.535,0.39,0.474,0.56
0.396,"8","@virginmedia I've been disconnected whilst on holiday 😤 but I don't move house until the 1st October 🤔 ",18,no,2.355500000000001,1.516,2.43025,0.86,2.892,8.785,2.179609847710203,5.09338888888889,7.609500000000001,4.2010000000000005,5.878,5.29,8.717,1.3112715489796152,1.4305,0.933,1.6695000000000002,0.862,2.432,4.363,0.9010958198053014,4.974333333333332,6.603,4.5815,5.758,5.071,6.983,1.091307257105791,1.8999444444444447,1.7385,1.605,2.015,3.831,4.424,1.0613386925300698,0.8873888888888889,1.0855000000000001,0.71975,0.493,2.073,2.006,0.5307442209808555,1.1045,0.7549999999999999,1.2605,0.956,3.464,2.897,0.7620135285197099,1.2776111111111108,1.2690000000000001,1.0985,1.038,2.785,2.914,0.6072399602142845,0.962333333333333,1.8975,0.78775,0.732,2.945,3.002,0.5987665753569631,2.6961666666666675,5.9559999999999995,2.3062500000000004,2.467,4.067,8.141,2.058350917603702,1.8351111111111114,3.1075000000000004,1.6515,2.072,2.346,5.331,1.0890067189815351,2.0956666666666663,1.7385000000000002,2.06525,1.535,4.448,4.556,1.1806879350615893,5.098388888888889,7.7675,4.19975,6.395,5.276,8.885,1.5222539456882347,0.385,0.374,0.471,0.442
0.25,"9","I wanna see you smile I don't wanna see you make a frown",13,no,1.5609230769230769,4.204,1.4164285714285716,2.892,2.892,4.204,0.8939349772716937,5.593230769230771,3.325,5.881571428571428,5.29,5.29,9.457,1.525707221468466,1.2616153846153846,2.053,1.185857142857143,2.432,2.432,2.053,0.2548926370263692,5.886,4.538,6.441857142857144,5.071,5.071,8.791,1.272505402739022,1.0463076923076924,1.288,1.0994285714285714,3.831,3.831,1.314,0.21384549898442437,0.7925384615384616,2.304,0.6552857142857144,2.073,2.073,2.304,0.5872866442922933,0.7926923076923078,0.813,0.7137142857142857,3.464,3.464,1.555,0.3011528915726431,0.7180769230769232,1.715,0.5031428571428572,2.785,2.785,1.715,0.39407052277869875,1.091,1.396,1.0761428571428573,2.945,2.945,3.718,0.851410790002883,3.836692307692308,6.592,3.343285714285714,4.067,4.067,6.772,1.9448629936585673,2.1180769230769227,1.374,2.5267142857142857,2.346,2.346,5.029,1.1939490121398584,1.7368461538461537,3.381,1.5724285714285713,4.448,4.448,3.381,0.7901706404477713,5.608076923076923,2.662,5.784142857142858,5.276,5.276,9.47,1.915051847058736,0.367,0.415,0.389,0.326
